parking_id,scenario_id,dimension_code,subscore,weight_applied,weighted_contribution
120,1,DEMAND,16.83775923998316,0.3,5.051327771994948
84,1,DEMAND,9.921633146519287,0.3,2.976489943955786
72,1,DEMAND,27.191762276720752,0.3,8.157528683016226
102,1,DEMAND,26.656075744264648,0.3,7.996822723279394
31,1,DEMAND,28.146348386171013,0.3,8.443904515851303
26,1,DEMAND,24.423494121859584,0.3,7.327048236557875
33,1,DEMAND,21.33977291629675,0.3,6.401931874889025
48,1,DEMAND,79.75488973442346,0.3,23.926466920327037
68,1,DEMAND,19.64328715538016,0.3,5.8929861466140485
53,1,DEMAND,10.928245787562936,0.3,3.278473736268881
36,1,DEMAND,35.37456543487069,0.3,10.612369630461206
47,1,DEMAND,48.038766208971275,0.3,14.411629862691381
90,1,DEMAND,25.52511700522063,0.3,7.6575351015661886
23,1,DEMAND,21.41325868691867,0.3,6.423977606075601
29,1,DEMAND,35.405725312697015,0.3,10.621717593809104
56,1,DEMAND,22.513651791748092,0.3,6.754095537524427
117,1,DEMAND,24.065899415962477,0.3,7.2197698247887425
80,1,DEMAND,34.24145384534328,0.3,10.272436153602984
30,1,DEMAND,23.67819169957536,0.3,7.103457509872608
32,1,DEMAND,42.34861714318533,0.3,12.7045851429556
38,1,DEMAND,27.63066499858505,0.3,8.289199499575515
67,1,DEMAND,24.21811184775808,0.3,7.265433554327424
105,1,DEMAND,26.439007956666774,0.3,7.931702387000032
100,1,DEMAND,33.53673843601762,0.3,10.061021530805286
74,1,DEMAND,9.05183917805066,0.3,2.715551753415198
28,1,DEMAND,21.83876080985671,0.3,6.551628242957013
37,1,DEMAND,30.172422403772455,0.3,9.051726721131736
59,1,DEMAND,11.71356603935138,0.3,3.5140698118054137
95,1,DEMAND,16.85816663470208,0.3,5.057449990410624
93,1,DEMAND,12.251399701886328,0.3,3.675419910565898
63,1,DEMAND,23.599507669134184,0.3,7.079852300740255
87,1,DEMAND,17.80288719632449,0.3,5.340866158897347
27,1,DEMAND,21.887290372596624,0.3,6.566187111778987
65,1,DEMAND,22.750122265420863,0.3,6.825036679626259
61,1,DEMAND,10.588518801482122,0.3,3.1765556404446365
66,1,DEMAND,23.875226421292343,0.3,7.162567926387703
35,1,DEMAND,22.007786541890344,0.3,6.6023359625671025
108,1,DEMAND,25.278178550031093,0.3,7.583453565009328
82,1,DEMAND,25.30700322170148,0.3,7.5921009665104435
107,1,DEMAND,17.00181508727649,0.3,5.100544526182947
112,1,DEMAND,15.657275079193091,0.3,4.697182523757927
54,1,DEMAND,20.1614937583494,0.3,6.0484481275048205
39,1,DEMAND,25.482981171698967,0.3,7.64489435150969
73,1,DEMAND,18.851693330550553,0.3,5.655507999165166
116,1,DEMAND,12.937429050286596,0.3,3.8812287150859786
77,1,DEMAND,22.127558290806483,0.3,6.6382674872419445
97,1,DEMAND,36.68862829547686,0.3,11.006588488643057
106,1,DEMAND,21.380852214304184,0.3,6.414255664291255
60,1,DEMAND,24.529582123238217,0.3,7.358874636971465
109,1,DEMAND,27.593005354546374,0.3,8.277901606363912
110,1,DEMAND,6.49567113669864,0.3,1.948701341009592
25,1,DEMAND,21.59447768327202,0.3,6.478343304981606
96,1,DEMAND,7.111111360970765,0.3,2.133333408291229
119,1,DEMAND,12.346909029777004,0.3,3.704072708933101
24,1,DEMAND,17.04509325929383,0.3,5.113527977788149
69,1,DEMAND,16.794398900990622,0.3,5.038319670297186
111,1,DEMAND,23.31553333816699,0.3,6.994660001450097
94,1,DEMAND,7.244084615644571,0.3,2.1732253846933713
98,1,DEMAND,14.731177972754272,0.3,4.419353391826282
81,1,DEMAND,18.62379888369688,0.3,5.587139665109064
79,1,DEMAND,18.09508815759409,0.3,5.4285264472782275
70,1,DEMAND,17.848266175062925,0.3,5.354479852518877
78,1,DEMAND,25.8152880345841,0.3,7.74458641037523
71,1,DEMAND,8.68197645150202,0.3,2.604592935450606
103,1,DEMAND,9.190454510067312,0.3,2.7571363530201936
114,1,DEMAND,13.34487764797246,0.3,4.003463294391738
57,1,DEMAND,16.274543962717903,0.3,4.882363188815371
62,1,DEMAND,17.423016147345816,0.3,5.2269048442037445
88,1,DEMAND,15.568522271940893,0.3,4.6705566815822674
64,1,DEMAND,21.07447805618154,0.3,6.322343416854462
115,1,DEMAND,6.017744974061693,0.3,1.8053234922185077
58,1,DEMAND,4.447429757450675,0.3,1.3342289272352026
92,1,DEMAND,11.539990697102194,0.3,3.4619972091306583
113,1,DEMAND,17.66821784508599,0.3,5.300465353525797
76,1,DEMAND,17.08232284653186,0.3,5.124696853959557
91,1,DEMAND,9.341563715276743,0.3,2.802469114583023
